INSPECTION ID,ADDRESS,INSPECTION CATEGORY,INSPECTION SUB CATEGORY,INSPECTION DATE,NARRATIVE,LATITUDE,LONGITUDE,MODIFIED DATE
DOEINS18763,12908 S EMERALD AVE,SOLID WASTE INSPECTIONS,,03/30/2007,"I REINSPECTED DUE TO AN ANTIFREEZE SPILL ON THE PREVIOUS DAY. 
THE SPILL AREA HAD BEEN CLEANED BY USE OF A WET-VACUUM AND DRY SWEEP.  NO FURTHER INVESTIGATION.
",41.65920915644357,-87.6402312012838,01/01/2012
7149,417 W ROSCOE ST,COMPLAINT RESPONSE,NOISE COMPLAINT,09/20/2013,"CANVASSED AREA OF 417 W. ROSCOE, NO BEEPING NOISES WERE DETECTED AT THIS TIME. 417 W. ROSOCE IS A MULTI-UNIT RESIDENTIAL BUILDING. NO NOISE DETECTED AT THIS TIME.",41.94325361996783,-87.64122085803231,09/20/2013
1547672,802 W ALTGELD ST,DOE GENERAL FLOW,DEMOLITION/ASBESTOS,06/16/2020,"On June 16, 2020, Senior Environmental Inspector Donavan Tietje performed a routine inspection at 802 W Altgeld. The general contractor for this site is Viewpoint Services, Inc at 2240 W Irving Park Road, Chicago, IL 60618. At the time of the inspection the site was fully surrounded by fencing and mesh and demolition had begun. Water was being used for dust abatement at the time of this inspection. Some gravel was noted on the Altgeld side of the site. This gravel was quickly cleaned up during the inspection. No citations were issued at the time of the inspection.",41.92737281835044,-87.6492544476815,09/30/2020
DOEINS61774,2520 N LAKEVIEW AVE,TANK INSPECTIONS,UST REMOVAL,07/25/2011,THE   HEATING   OIL   TANKS   WERE   PREVIOUSLY   ABANDONED - IN- PLACE ( FOAM   FILLED ).   THERE   WAS   NO   SIGNS   OF   ANY   PETROLEUM  RELEASE   FROM   THESE   TANKS.    NO   BACKFILLING   /    CONSTRUCTION   SITE.  PERMIT  110471.,41.92880175944407,-87.63937940264589,01/01/2012
DOEINS63620,2600 S STATE ST,SOLID WASTE INSPECTIONS,,11/06/1997,"PILE OF STONE CONCRETE, DIRT & DIRT WOOD ABOUT 450 CU YDS WAS OBSERVED AT THE ABOVE SITE.",41.845520397464824,-87.62710659199742,01/01/2012
DOEINS48048,210 W 103RD ST,MISCELLANEOUS INSPECTION,A8,11/23/2001,OBSERVED STAINING OF SOIL & SAND NEAR WHEE THE BACK HOLE (HEAVY EQUIPMENT) IS PARKED. WORKERS ARE WORKING ON THE BLDG & THE INSTALLING ELECTRICAL,41.707206116169495,-87.62881500236827,01/01/2012
DOEINS152790,7615 S CICERO AVE,DEMOLITION/ASBESTOS,,07/12/2011,DEMOLITION 100% COMPLETTE,41.754130799316805,-87.74136799600143,01/01/2012
DOEINS166790,4 E 95TH ST,TANK COMMENTS,,09/22/2006,FACILITY ID:2007056 REPLACED ELECTRONIC LEAK DETECTOR WITH THE SAME,41.721812566465196,-87.62361764855412,01/01/2011
DOEINS106473,4418 N ELSTON AVE,AIR QUALITY INSPECTION,,11/07/2006,,41.961250303455756,-87.73037836753709,01/01/2012
DOEINS36254,1750 W CARROLL AVE,SOLID WASTE INSPECTIONS,PERMIT/LICENSE FACILITY (TRANSFER STATION),03/11/1998,ROUTINE,41.887874275937776,-87.67127720096464,01/01/2012
